"","time","lat","long","datasetid","samples","taxa","variablename"
"180",-10000,-42.680062,146.591092,14959,12.2075279755849,"Eucalyptus","Eucalyptus"
"181",-10000,-42.680062,146.591092,14959,39.0640895218718,"SouthernBeech","Nothofagus"
"182",-10000,-42.680062,146.591092,14959,12.2075279755849,"CeleryPine","Phyllocladus"
"183",-9500,-42.680062,146.591092,14959,1.693317780698,"SheOak","Casuarina"
"184",-9500,-42.680062,146.591092,14959,8.51063829787234,"Eucalyptus","Eucalyptus"
"185",-9500,-42.680062,146.591092,14959,47.5419699676643,"SouthernBeech","Nothofagus"
"186",-9500,-42.680062,146.591092,14959,14.2772946289269,"CeleryPine","Phyllocladus"
"187",-9000,-42.680062,146.591092,14959,2.10874990824341,"SheOak","Casuarina"
"188",-9000,-42.680062,146.591092,14959,16.5270131395434,"Eucalyptus","Eucalyptus"
"189",-9000,-42.680062,146.591092,14959,33.8721280187917,"SouthernBeech","Nothofagus"
"190",-9000,-42.680062,146.591092,14959,14.010313440505,"CeleryPine","Phyllocladus"
"191",-8500,-42.680062,146.591092,14959,2.39197530864198,"SheOak","Casuarina"
"192",-8500,-42.680062,146.591092,14959,15.7407407407407,"Eucalyptus","Eucalyptus"
"193",-8500,-42.680062,146.591092,14959,34.5679012345679,"SouthernBeech","Nothofagus"
"194",-8500,-42.680062,146.591092,14959,12.5771604938272,"CeleryPine","Phyllocladus"
"195",-8000,-42.680062,146.591092,14959,1.89817925040154,"SheOak","Casuarina"
"196",-8000,-42.680062,146.591092,14959,9.00422202805441,"Eucalyptus","Eucalyptus"
"197",-8000,-42.680062,146.591092,14959,41.2019821721634,"SouthernBeech","Nothofagus"
"198",-8000,-42.680062,146.591092,14959,17.2665936069125,"CeleryPine","Phyllocladus"
"199",-7500,-42.680062,146.591092,14959,1.54994911496384,"SheOak","Casuarina"
"200",-7500,-42.680062,146.591092,14959,11.4046371260859,"Eucalyptus","Eucalyptus"
"201",-7500,-42.680062,146.591092,14959,31.8991817504452,"SouthernBeech","Nothofagus"
"202",-7500,-42.680062,146.591092,14959,20.883252916803,"CeleryPine","Phyllocladus"
"203",-7000,-42.680062,146.591092,14959,1.53061224489796,"SheOak","Casuarina"
"204",-7000,-42.680062,146.591092,14959,13.0466472303207,"Eucalyptus","Eucalyptus"
"205",-7000,-42.680062,146.591092,14959,23.1049562682216,"SouthernBeech","Nothofagus"
"206",-7000,-42.680062,146.591092,14959,18.0758017492711,"CeleryPine","Phyllocladus"
"207",-6500,-42.680062,146.591092,14959,1.27204739558098,"SheOak","Casuarina"
"208",-6500,-42.680062,146.591092,14959,12.9687938219939,"Eucalyptus","Eucalyptus"
"209",-6500,-42.680062,146.591092,14959,17.0912924940374,"SouthernBeech","Nothofagus"
"210",-6500,-42.680062,146.591092,14959,19.7675881609872,"CeleryPine","Phyllocladus"
"211",-6000,-42.680062,146.591092,14959,1.72423340834378,"SheOak","Casuarina"
"212",-6000,-42.680062,146.591092,14959,12.0935969270888,"Eucalyptus","Eucalyptus"
"213",-6000,-42.680062,146.591092,14959,19.155503199271,"SouthernBeech","Nothofagus"
"214",-6000,-42.680062,146.591092,14959,18.5672501371835,"CeleryPine","Phyllocladus"
"215",-5500,-42.680062,146.591092,14959,1.31866493746553,"SheOak","Casuarina"
"216",-5500,-42.680062,146.591092,14959,8.83547247439739,"Eucalyptus","Eucalyptus"
"217",-5500,-42.680062,146.591092,14959,27.3521607560783,"SouthernBeech","Nothofagus"
